iz,n_ivols,n_gal,r,r_min,r_max,dd
271,1000,71489233,1.8908194904220104,1.73935739051409,2.0326667338262,1031015814
271,1000,71489233,2.209875926415654,2.0326667338262,2.3754370857518157,1472715706
271,1000,71489233,2.5827983558578382,2.3754370857518157,2.7760090990142356,2119910166
271,1000,71489233,3.0187017366071385,2.7760090990142356,3.2441299178297704,3079043518
271,1000,71489233,3.528165623976872,3.2441299178297704,3.7911903557864473,4512934672
271,1000,71489233,4.123588308728577,3.7911903557864473,4.430502069233829,6674970090
271,1000,71489233,4.819468758916414,4.430502069233829,5.177621470661636,9959508960
271,1000,71489233,5.632749267245828,5.177621470661636,6.050728263871968,14980341456
271,1000,71489233,6.583197954294438,6.050728263871968,7.071067811865475,22699986250
271,1000,71489233,7.693966609407511,7.071067811865475,8.263468101607344,34630731432
271,1000,71489233,8.992116148091263,8.263468101607344,9.656943885009541,53162948122
271,1000,71489233,10.509195265318569,9.656943885009541,11.285402696730158,82093268826
271,1000,71489233,12.282167165622456,11.285402696730158,13.188469928365798,127415401800
271,1000,71489233,14.354147390714136,13.188469928365798,15.412453035619656,198728766390
271,1000,71489233,16.775498372618852,15.412453035619656,18.011468340559496,311204680104
271,1000,71489233,19.605256849612484,18.011468340559496,21.04875784751639,489114931908
271,1000,71489233,22.912140468320516,21.04875784751639,24.598228114789016,771213900270
271,1000,71489233,26.77667732563237,24.598228114789016,28.746248627616342,1219158649358
271,1000,71489233,31.29290865172013,28.746248627616342,33.59375343234238,1931817646042
271,1000,71489233,36.57066719987833,33.59375343234238,39.25869717097048,3067028775810
271,1000,71489233,42.73827401850022,39.25869717097048,45.87892527895176,4876199573382
271,1000,71489233,49.946163142294125,45.87892527895176,53.61552818691274,7762918169086
271,1000,71489233,58.369152737319574,53.61552818691274,62.65676114432542,12371174222032
271,1000,71489233,68.21229972353112,62.65676114432542,73.22262504643817,19727600028948
271,1000,71489233,79.71482945740117,73.22262504643817,85.57021973001949,31456285119856
271,1000,71489233,93.15843170069236,85.57021973001949,100.0,50176938520796
271,1024,73207982,0.5434492637554083,0.5,0.584315433076528,69778654
271,1024,73207982,0.6350956182130184,0.584315433076528,0.682849050662821,98080758
271,1024,73207982,0.7421922875173684,0.682849050662821,0.7979984775278846,137825796
271,1024,73207982,0.8673432842627382,0.7979984775278846,0.9325656519822317,193673038
271,1024,73207982,1.0136098298878056,0.9325656519822317,1.089825005620585,272136718
271,1024,73207982,1.184556491925405,1.089825005620585,1.2736031402736432,382758448
271,1024,73207982,1.3843454692151291,1.2736031402736432,1.4883719409532399,539167500
271,1024,73207982,1.6178657487860244,1.4883719409532399,1.73935739051409,761852500
271,1024,73207982,1.8908203666029448,1.73935739051409,2.0326667338262,1081242062
271,1024,73207982,2.209876696997919,2.0326667338262,2.3754370857518157,1544415594
271,1024,73207982,2.5827998714304052,2.3754370857518157,2.7760090990142356,2223123710
271,1024,73207982,3.0187010811651436,2.7760090990142356,3.2441299178297704,3228945338
271,1024,73207982,3.528165123132678,3.2441299178297704,3.7911903557864473,4732663508
271,1024,73207982,4.123589005862091,3.7911903557864473,4.430502069233829,6999966422
271,1024,73207982,4.819468798094855,4.430502069233829,5.177621470661636,10444347052
271,1024,73207982,5.632748668126678,5.177621470661636,6.050728263871968,15709456958
271,1024,73207982,6.583198147755414,6.050728263871968,7.071067811865475,23805023804
271,1024,73207982,7.693965231197335,7.071067811865475,8.263468101607344,36316260866
271,1024,73207982,8.992117255345455,8.263468101607344,9.656943885009541,55750093184
271,1024,73207982,10.509192411182159,9.656943885009541,11.285402696730158,86087971872
271,1024,73207982,12.282168920605203,11.285402696730158,13.188469928365798,133615337508
271,1024,73207982,14.354146834596566,13.188469928365798,15.412453035619656,208398329694
271,1024,73207982,16.77549923115712,15.412453035619656,18.011468340559496,326347883666
271,1024,73207982,19.605258381201804,18.011468340559496,21.04875784751639,512918205332
271,1024,73207982,22.912140235107394,21.04875784751639,24.598228114789016,808747979038
271,1024,73207982,26.776674558665317,24.598228114789016,28.746248627616342,1278488049440
271,1024,73207982,31.292907367694017,28.746248627616342,33.59375343234238,2025830898678
271,1024,73207982,36.57066735742691,33.59375343234238,39.25869717097048,3216281642004
271,1024,73207982,42.73827428024434,39.25869717097048,45.87892527895176,5113483414300
271,1024,73207982,49.94616404060027,45.87892527895176,53.61552818691274,8140694257296
271,1024,73207982,58.369154622388415,53.61552818691274,62.65676114432542,12973200386004
271,1024,73207982,68.21229671656367,62.65676114432542,73.22262504643817,20687636589352
271,1024,73207982,79.7148253879808,73.22262504643817,85.57021973001949,32987002182990
271,1024,73207982,93.15843134961098,85.57021973001949,100.0,52618565631118
